Zoom [mm],Filter,focus ref [mc],N ,Camera set,focus min [mc],focus max [mc],C0_rho,C0_a1,C0_a0,C1_rho,C1_a1,C1_a0,C2_rho,C2_a1,C2_a0,A0_rho,A0_a1,A0_a0,A1_rho,A1_a1,A1_a0,A2_rho,A2_a1,A2_a0,H0_rho,H0_a1,H0_a0,H1_rho,H1_a1,H1_a0,H2_rho,H2_a1,H2_a0,V0_rho,V0_a1,V0_a0,V1_rho,V1_a1,V1_a0,V2_rho,V2_a1,V2_a0,,O0_rho,O0_a1,O0_a0,O1_rho,O1_a1,O1_a0,O2_rho,O2_a1,O2_a0,R0_a0,R1_a0,R2_a0
26,L0,-2364,17,ZL026,-1878,-672,-0.92,-1.96E-06,0.041212566,-0.12,0.00E+00,-0.123444076,-0.16,0.00E+00,-0.066,0.69,2.61E-09,0.999674859,0.18,0,0.024003363,-0.6,-4.25302E-07,0.008358537,-0.75,-0.001171926,767.6342538,1,0.042613082,3659.846917,-0.97,-0.005307008,-18.22820241,0.46,0.001028137,566.9990723,0.98,0.004998803,39.05349107,1,0.042341874,3645.159685,,0.69,2.611E-09,0.999674859,0.18,0,0.024003363,-0.6,-4.253E-07,0.008358537,0,-0.448715,0.296763
26,R0,-2106,17,ZR026,-1722,-972,-0.99,-5.55E-06,0.038758143,0.76,0.00E+00,0.119095787,-0.64,0.00E+00,-0.066,0.49,9.42E-09,0.999735168,0.29,0,-0.020944263,-0.67,-5.82433E-07,0.009974924,0.27,0,913.0948702,1,0.041715915,3595.052006,-0.97,-0.008535496,17.78910197,0.61,0.001802323,579.8865165,0.97,0.00809602,-21.46623987,1,0.04125445,3619.20648,,0.49,9.419E-09,0.999735168,0.29,0,-0.020944263,-0.67,-5.824E-07,0.009974924,0,-0.465151,0.515532
34,L0,108,224,ZL034,-1800,1158,-0.31,-2.086E-07,0.033628289,-0.06,0,-0.12453787,-0.09,0,-0.066070166,-0.36,-7.8E-09,0.999691779,0.5,5.175E-07,0.022885817,-0.49,-4.014E-07,0.009554172,-0.64,-0.003505416,753.0947457,0.99,0.048604989,4701.735018,-0.68,-0.003885291,-9.328058362,0.37,0.001322645,574.0637644,0.65,0.003870089,32.00757242,0.99,0.047992983,4690.967288,,-0.36,-7.8E-09,0.999691779,0.5,5.175E-07,0.022885817,-0.49,-4.014E-07,0.009554172,0,-0.469941,0.6543825
34,R0,108,202,ZR034,-1782,1218,0.25,0,0.036656094,0.27,0,0.120031374,-0.29,0,-0.06560548,0.52,1.39E-08,0.999699485,0.4,3.752E-07,-0.020853019,-0.54,-4.524E-07,0.012835309,-0.15,0,940.1117531,0.99,0.052442857,4669.300798,-0.6,-0.003088763,45.00064795,0.42,0.001526666,585.8454355,0.55,0.002897052,-44.71998514,0.99,0.051831137,4697.835007,,0.52,1.39E-08,0.999699485,0.4,3.752E-07,-0.020853019,-0.54,-4.524E-07,0.012835309,0,-0.481191,0.747797
48,L0,1326,9,ZL048,1188,2316,-0.96,-2.93E-06,0.019613185,-0.33,0.00E+00,-0.124020683,-0.75,0.00E+00,-0.066,-0.66,-1.61E-08,0.999676348,0.69,7.05915E-07,0.025170768,-0.71,-1.01936E-06,0.004168639,-0.69,-0.005640081,722.4239406,0.57,0.036427722,6616.082085,-0.95,-0.018398168,2.318839546,0.68,0.006212599,523.0078979,0.94,0.018039027,14.54403258,0.57,0.035389338,6598.0482,,-0.66,-1.6092E-08,0.999676348,0.69,7.05915E-07,0.025170768,-0.71,-1.0194E-06,0.004168639,0,-0.477351,1.93026
48,R0,1278,10,ZR048,1170,2286,-0.67,-1.33E-06,0.021784921,0.53,0.00E+00,0.119345345,-0.84,0.00E+00,-0.066,0.7,1.47E-08,0.999770148,0.63,5.04916E-07,-0.0194414,-0.7,-6.5756E-07,0.009120323,-0.5,-0.002277682,987.2117172,0.66,0.047774948,6556.954652,-0.97,-0.020057605,82.9778187,0.71,0.004396507,546.9267444,0.97,0.019694478,-85.78953378,0.66,0.046922553,6580.188162,,0.7,1.4717E-08,0.999770148,0.63,5.04916E-07,-0.0194414,-0.7,-6.576E-07,0.009120323,0,-0.48956,1.84862
63,L0,2214,126,ZL063,2130,3120,-0.38,-2.42E-06,0.011163087,-0.19,0.00E+00,-0.124318169,0.05,0.00E+00,-0.068,-0.2,0.00E+00,0.999701502,0.24,0,0.024395761,-0.13,0,0.001420201,-0.37,-0.012694293,707.0667918,0.2,0,8624.697802,-0.5,-0.034607196,46.93005532,0.03,0,515.5257314,0.48,0.034340551,-31.98599281,0.2,0,8606.138856,,-0.2,0,0.999701502,0.24,0,0.024395761,-0.13,0,0.001420201,0,-0.336943,-1.8559
63,R0,2154,126,ZR063,2094,3072,-0.64,-6.54E-06,0.027440639,-0.15,0.00E+00,0.11909902,-0.63,0.00E+00,-0.066,0.34,2.66E-08,0.999810176,0.3,1.42676E-06,-0.019229658,0.46,1.83094E-06,-0.005368065,-0.29,0,1026.9795,0.33,0.040166943,8479.264737,-0.52,-0.03765078,147.5553862,-0.45,-0.01491647,578.2999123,0.53,0.040306915,-163.382362,0.33,0.039695301,8495.028135,,0.34,2.6594E-08,0.999810176,0.3,1.42676E-06,-0.019229658,0.46,1.8309E-06,-0.005368065,0,-0.350072,-0.230695
79,L0,2706,60,ZL079,2448,3480,-0.81,-8.15E-06,0.02783384,-0.4,0.00E+00,-0.124453555,0.2,0.00E+00,-0.067,-0.27,0.00E+00,0.999731464,0.27,0,0.023127313,0.19,0,0.001204334,-0.28,0,627.8103999,0.01,0,10753.915,-0.54,-0.040269543,65.49156228,-0.24,0,494.3257414,0.54,0.040715899,-54.21950112,0.01,0,10737.2124,,-0.27,0,0.999731464,0.27,0,0.023127313,0.19,0,0.001204334,0,-0.223453,-0.867675
79,R0,2646,60,ZR079,2406,3420,0.08,0.00E+00,0.0068011,-0.31,0.00E+00,0.119285821,-0.39,0.00E+00,-0.066,0.29,0.00E+00,0.99982658,0.21,0,-0.017640014,0.41,7.23198E-07,-0.007914529,-0.22,0,1065.047024,-0.13,0,10714.00171,-0.6,-0.047818819,197.9522014,-0.39,-0.006891817,545.836659,0.6,0.04889713,-215.436116,-0.13,0,10728.56984,,0.29,0,0.99982658,0.21,0,-0.017640014,0.41,7.232E-07,-0.007914529,0,-0.183872,0.022493
100,L0,2718,10,ZL100,2808,3468,-0.12,0.00E+00,0.010405038,0.85,0.00E+00,-0.123918403,0.01,0.00E+00,-0.066,0.33,1.96E-09,0.999795646,0.19,0,0.019290947,-0.62,-7.64462E-07,0.00725802,-0.18,0,579.9174289,-0.34,-9.31689E-05,13534.37772,-0.95,-0.029021307,23.21656788,0.6,0.009781897,435.824976,0.95,0.028616915,-8.841389399,-0.72,-0.000507908,13524.39944,,0.33,1.96E-09,0.999795646,0.19,0,0.019290947,-0.62,-7.645E-07,0.00725802,0,0.158325,-0.069968
100,R0,2640,10,ZR100,1578,3396,0.45,0.00E+00,1.28E-02,0.89,0.00E+00,0.119568902,-0.45,0.00E+00,-0.065,-0.81,-1.76E-08,0.999818727,-0.83,-8.56284E-07,-0.018984298,0.8,1.90658E-06,-0.003937767,0.83,0.011378361,1098.335749,-0.77,-0.000793205,13482.83994,-0.95,-0.023390528,150.5761512,-0.79,-0.025302089,582.2237079,0.97,0.025069878,-165.0458197,0.85,0.001181696,13499.11703,,-0.81,-1.7613E-08,0.999818727,-0.83,-8.56284E-07,-0.018984298,0.8,1.9066E-06,-0.003937767,0,0.223566,-0.270314
110,L0,2484,1129,ZL110,2130,3198,-0.52,-2.71E-06,0.02981769,0.36,0.00E+00,-0.124049406,0.2,0.00E+00,-0.067,-0.14,0.00E+00,0.999775703,0.1,0,0.01946773,0.1,0,0.008484027,-0.19,0,553.040629,0.97,0.124096309,14505.03709,-0.55,-0.029060735,17.73406596,-0.12,0,453.0369133,0.56,0.029338949,-2.643793677,0.97,0.12422164,14495.43158,,-0.14,0,0.999775703,0.1,0,0.01946773,0.1,0,0.008484027,0,0.466728,0.022829
110,R0,2406,1126,ZR110,2046,3132,-0.58,-3.24E-06,0.032404238,-0.03,0.00E+00,0.119245596,0.03,0.00E+00,-0.066,0.21,0.00E+00,0.999759304,0.37,4.60796E-07,-0.022756085,0.13,0,0.004311265,-0.21,0,1160.752822,0.97,0.139960366,14428.25975,-0.58,-0.031380071,182.2636676,-0.13,0,494.0262747,0.59,0.032272741,-191.8804323,0.96,0.139732854,14452.62033,,0.21,0,0.999759304,0.37,4.60796E-07,-0.022756085,0.13,0,0.004311265,0,0.56173,-0.073689
